"Survived","Pclass","Sex","Age","SibSp","PrCh","Fare"
0,3,"male",22,1,0,7
1,1,"female",38,1,0,15
1,3,"female",26,0,0,7
1,1,"female",35,1,0,53
0,3,"male",35,0,0,8
0,1,"male",54,0,0,51
0,3,"male",2,0,1,21
1,3,"female",27,0,2,11
1,2,"female",14,1,0,30
1,3,"female",4,1,1,16
1,1,"female",58,0,0,26
0,3,"male",20,0,0,8
0,3,"male",39,1,0,31
0,3,"female",14,0,0,7
1,2,"female",55,0,0,16
0,3,"male",2,0,1,29
0,3,"female",31,1,0,18
0,2,"male",35,0,0,26
1,2,"male",34,0,0,13
1,3,"female",15,0,0,8
1,1,"male",28,0,0,35
0,3,"female",8,0,1,21
1,3,"female",38,1,0,31
0,1,"male",19,0,2,15
0,1,"male",40,0,0,27
0,2,"male",28,0,0,10
0,1,"male",28,1,0,15
0,1,"male",42,1,0,52
0,3,"male",21,0,0,8
0,3,"female",18,2,0,18
1,3,"female",14,1,0,11
0,3,"female",40,1,0,9
0,2,"female",27,1,0,21
1,2,"female",3,1,2,41
1,3,"female",19,0,0,7
0,3,"female",18,1,0,17
0,3,"male",7,0,1,39
0,3,"male",21,0,0,7
1,1,"female",49,1,0,15
1,2,"female",29,1,0,26
0,1,"male",65,0,1,61
1,2,"female",21,0,0,10
0,3,"male",28,0,0,7
1,2,"female",5,1,2,27
0,3,"male",11,0,2,46
0,3,"male",22,0,0,7
1,1,"female",38,0,0,15
0,1,"male",45,1,0,15
0,3,"male",4,0,2,27
1,2,"female",29,0,0,10
0,3,"male",19,0,0,8
1,3,"female",17,0,2,7
0,3,"male",26,2,0,8
0,2,"male",32,0,0,10
0,3,"female",16,0,2,46
0,2,"male",21,0,0,15
0,3,"male",26,1,0,14
1,3,"male",32,0,0,56
0,3,"male",25,0,0,7
1,2,"male",1,0,2,29
1,3,"female",30,0,0,12
0,3,"male",22,0,0,9
1,3,"male",29,0,0,9
0,1,"male",28,0,0,47
1,2,"female",17,0,0,10
1,3,"female",33,0,0,15
0,3,"male",16,1,0,34
1,1,"female",23,0,2,15
0,3,"male",24,0,0,8
0,3,"male",29,0,0,8
0,3,"male",20,0,0,7
0,1,"male",46,1,0,61
0,3,"male",26,1,2,20
0,3,"male",59,0,0,7
0,1,"male",28,0,0,34
1,1,"male",23,0,1,63
1,2,"female",34,0,1,23
0,2,"male",34,1,0,26
0,3,"female",28,0,0,7
0,1,"male",21,0,1,15
0,3,"male",33,0,0,8
0,3,"male",37,2,0,7
0,3,"male",28,0,0,7
1,3,"female",21,0,0,7
0,3,"male",38,0,0,7
0,1,"male",47,0,0,52
0,3,"female",14,1,0,14
0,3,"male",22,0,0,8
0,3,"female",20,1,0,9
0,3,"female",17,0,0,14
0,3,"male",21,0,0,7
0,3,"male",28,0,0,7
0,2,"male",29,1,0,21
0,1,"male",24,0,1,15
0,3,"female",2,0,2,31
0,2,"male",21,2,0,15
0,2,"male",32,1,0,30
1,2,"female",32,0,0,13
0,1,"male",54,0,1,15
1,3,"male",12,1,0,11
1,3,"male",24,0,0,7
0,3,"male",45,0,0,6
0,3,"male",33,0,0,7
0,3,"male",20,0,0,7
0,3,"female",47,1,0,14
1,2,"female",29,1,0,26
0,2,"male",25,0,0,13
0,2,"male",23,0,0,15
1,1,"female",19,0,2,26
0,1,"male",37,1,0,53
0,3,"male",16,0,0,9
0,1,"male",24,0,0,15
1,3,"female",22,0,0,7
1,3,"female",24,1,0,15
0,3,"male",19,0,0,6
0,2,"male",18,0,0,11
