"No.","Survived","Pclass","Sex","Age","SibSp","PrCh","Fare"
1,0,3,"male",22,1,0,7
2,1,1,"female",38,1,0,71
3,1,3,"female",26,0,0,7
4,1,1,"female",35,1,0,53
5,0,3,"male",35,0,0,8
6,0,1,"male",54,0,0,51
7,0,3,"male",2,3,1,21
8,1,3,"female",27,0,2,11
9,1,2,"female",14,1,0,30
10,1,3,"female",4,1,1,16
11,1,1,"female",58,0,0,26
12,0,3,"male",20,0,0,8
13,0,3,"male",39,1,5,31
14,0,3,"female",14,0,0,7
15,1,2,"female",55,0,0,16
16,0,3,"male",2,4,1,29
17,0,3,"female",31,1,0,18
18,0,2,"male",35,0,0,26
19,1,2,"male",34,0,0,13
20,1,3,"female",15,0,0,8
21,1,1,"male",28,0,0,35
22,0,3,"female",8,3,1,21
23,1,3,"female",38,1,5,31
24,0,1,"male",19,3,2,263
25,0,1,"male",40,0,0,27
26,0,2,"male",66,0,0,10
27,0,1,"male",28,1,0,82
28,0,1,"male",42,1,0,52
29,0,3,"male",21,0,0,8
30,0,3,"female",18,2,0,18
31,1,3,"female",14,1,0,11
32,0,3,"female",40,1,0,9
33,0,2,"female",27,1,0,21
34,1,2,"female",3,1,2,41
35,1,3,"female",19,0,0,7
36,0,3,"female",18,1,0,17
37,0,3,"male",7,4,1,39
38,0,3,"male",21,0,0,7
39,1,1,"female",49,1,0,76
40,1,2,"female",29,1,0,26
41,0,1,"male",65,0,1,61
42,1,2,"female",21,0,0,10
43,0,3,"male",28,0,0,7
44,1,2,"female",5,1,2,27
45,0,3,"male",11,5,2,46
46,0,3,"male",22,0,0,7
47,1,1,"female",38,0,0,80
48,0,1,"male",45,1,0,83
49,0,3,"male",4,3,2,27
50,1,2,"female",29,0,0,10
51,0,3,"male",19,0,0,8
52,1,3,"female",17,4,2,7
53,0,3,"male",26,2,0,8
54,0,2,"male",32,0,0,10
55,0,3,"female",16,5,2,46
56,0,2,"male",21,0,0,73
57,0,3,"male",26,1,0,14
58,1,3,"male",32,0,0,56
59,0,3,"male",25,0,0,7
60,1,2,"male",1,0,2,29
61,1,3,"female",30,0,0,12
62,0,3,"male",22,0,0,9
63,1,3,"male",29,0,0,9
64,0,1,"male",28,0,0,47
65,1,2,"female",17,0,0,10
66,1,3,"female",33,3,0,15
67,0,3,"male",16,1,3,34
68,1,1,"female",23,3,2,263
69,0,3,"male",24,0,0,8
70,0,3,"male",29,0,0,8
71,0,3,"male",20,0,0,7
72,0,1,"male",46,1,0,61
73,0,3,"male",26,1,2,20
74,0,3,"male",59,0,0,7
75,0,1,"male",71,0,0,34
76,1,1,"male",23,0,1,63
77,1,2,"female",34,0,1,23
78,0,2,"male",34,1,0,26
79,0,3,"female",28,0,0,7
80,0,1,"male",21,0,1,77
81,0,3,"male",33,0,0,8
82,0,3,"male",37,2,0,7
83,0,3,"male",28,0,0,7
84,1,3,"female",21,0,0,7
85,0,3,"male",38,0,0,7
86,0,1,"male",47,0,0,52
87,0,3,"female",14,1,0,14
88,0,3,"male",22,0,0,8
89,0,3,"female",20,1,0,9
90,0,3,"female",17,0,0,14
91,0,3,"male",21,0,0,7
92,0,3,"male",70,0,0,7
93,0,2,"male",29,1,0,21
94,0,1,"male",24,0,1,247
95,0,3,"female",2,4,2,31
96,0,2,"male",21,2,0,73
97,0,2,"male",32,1,0,30
98,1,2,"female",32,0,0,13
99,0,1,"male",54,0,1,77
100,1,3,"male",12,1,0,11
101,1,3,"male",24,0,0,7
102,0,3,"male",45,0,0,6
103,0,3,"male",33,0,0,7
104,0,3,"male",20,0,0,7
105,0,3,"female",47,1,0,14
106,1,2,"female",29,1,0,26
107,0,2,"male",25,0,0,13
108,0,2,"male",23,0,0,15
109,1,1,"female",19,0,2,26
110,0,1,"male",37,1,0,53
111,0,3,"male",16,0,0,9
112,0,1,"male",24,0,0,79
113,1,3,"female",22,0,0,7
114,1,3,"female",24,1,0,15
115,0,3,"male",19,0,0,6
116,0,2,"male",18,0,0,11
117,0,2,"male",19,1,1,36
118,1,3,"male",27,0,0,7
119,0,3,"female",9,2,2,34
120,0,2,"male",36,0,2,26
